root	HP:0000001
lepri	HP:0004322;HP:0000245;HP:0000316;HP:0000494;HP:0000508;HP:0000286;HP:0003196;HP:0002002;HP:0010804;HP:0000347;HP:0000369;HP:0002162;HP:0000765;HP:0001642;HP:0001631;HP:0001629;HP:0001643;HP:0011675;HP:0000077;HP:0000028;HP:0100543;HP:0001596;HP:0001737;HP:0001028
medscape	HP:0004322;HP:0000325;HP:0000316;HP:0000494;HP:0000508;HP:0000486;HP:0000646;HP:0000369;HP:0000422;HP:0000465;HP:0000470;HP:0000768;HP:0000767;HP:0002650;HP:0001639;HP:0002564;HP:0001433;HP:0000077;HP:0000028;HP:0001388;HP:0001762;HP:0002974;HP:0002949;HP:0100490;HP:0001212;HP:0007439;HP:0001003;HP:0001252;HP:0001250;HP:0009830
digilio	HP:0004322;HP:0000256;HP:0001999;HP:0000316;HP:0000494;HP:0000508;HP:0000286;HP:0000369;HP:0000356;HP:0000465;HP:0000470;HP:0001627;HP:0000766;HP:0006610;HP:0002987;HP:0000028;HP:0100543
arup	HP:0000465;HP:0001999;HP:0000028;HP:0000407;HP:0100543;HP:0001639;HP:0002562;HP:0001003;HP:0000957;HP:0003764;HP:0000767;HP:0000768;HP:0001642;HP:0004322
mayo	HP:0001642;HP:0004415;HP:0001631;HP:0001636;HP:0011675;HP:0001680;HP:0001629;HP:0001639;HP:004322;HP:0000766;HP:0002650;HP:0002967;HP:0000925;HP:0001999;HP:0000316;HP:0000286;HP:0000508;HP:0000494;HP:0000325;HP:0000369;HP:0000358;HP:0100543;HP:0006877;HP:0000736;HP:0001003;HP:0000957;HP:0000962;HP:0008064;HP:0000964;HP:0000995;HP:0008404;HP:0001869;HP:0006191;HP:0008070;HP:0002212;HP:0002213;HP:0100874;HP:0002224;HP:0002299;HP:0100840;HP:0000561;HP:0000407;HP:0000028;HP:0002562;HP:0011968;HP:0008897;HP:0001928;HP:0100763
medgen	HP:0001892;HP:0004841;HP:0004859;HP:0008357;HP:0000476;HP:0000689;HP:0000316;HP:0000218;HP:0001631;HP:0001639;HP:0001643;HP:0001642;HP:0000407;HP:0000135;HP:0000545;HP:0000508;HP:0000028;HP:0001156;HP:0002967;HP:0002751;HP:0100697
top10	HP:0001642;HP:0001639;HP:0004322;HP:0000508;HP:0000028;HP:0004482;HP:0004377;HP:0002664;HP:0100543
boader	HP:0001641;HP:0001638;HP:0001510;HP:0012373;HP:0000035;HP:0000240;HP:0001627;HP:0001679;HP:0001871;HP:0012759
narrower	HP:0001642;HP:0005157;HP:0003508;HP:0001488;HP:0008689;HP:0004482;HP:0001654;HP:0002616;HP:0001909;HP:0010864
subset	HP:0001642;HP:0001639;HP:0004322;HP:0000508;HP:0000028;HP:0004482
superset	HP:0001642;HP:0001639;HP:0004322;HP:0000508;HP:0000028;HP:0004482;HP:0002564;HP:0002616;HP:0004377;HP:0001249;HP:0000369;HP:0003196
mismatched	HP:0000286;HP:0003196;HP:0000347;HP:0000369;HP:0001596;HP:0001737;HP:0007439;HP:0001003;HP:0100840;HP:0000561
