gold	HP:0001508;HP:0004322;HP:0001548;HP:0000324;HP:0002194;HP:0010862;HP:0000750;HP:0011276;HP:0010562;HP:0000963;HP:0008070;HP:0002212;HP:0002162;HP:0009890;HP:0000340;HP:0000337;HP:0000272;HP:0000280;HP:0000325;HP:0000286;HP:0000316;HP:0000494;HP:0000508;HP:0000589;HP:0000369;HP:0000358;HP:0005280;HP:0005272;HP:0000494;HP:0000278;HP:0000218;HP:0000474;HP:0000465;HP:0000470;HP:0001642;HP:0001639;HP:0001654;HP:0001631;HP:0011623;HP:0004969;HP:0001636;HP:0001650;HP:0001682;HP:0001643;HP:0001680;HP:0001634;HP:0000476;HP:0012398;HP:0002593;HP:0006521;HP:0010310;HP:0000028;HP:0000789;HP:0000077;HP:0000823;HP:0011298;HP:0004209;HP:0000766;HP:0000914;HP:0006610;HP:0002650;HP:0004602;HP:0001762;HP:0002974;HP:0003102;HP:0004602;HP:0001382;HP:0002240;HP:0001744;HP:0001873;HP:0001929;HP:0012146;HP:0000978;HP:0001892;HP:0001915;HP:0000483;HP:0000486;HP:0000646;HP:0009734;HP:0002885;HP:0100697;HP:0100008;HP:0002664
top10	HP:0001642;HP:0001639;HP:0004322;HP:0000508;HP:0000028;HP:0004482;HP:0004377;HP:0002664;HP:0100543

arup	HP:0000465;HP:0000271;HP:0000028;HP:0000407;HP:0100543;HP:0001639;HP:0002562;HP:0001003;HP:0000767;HP:0000768;HP:0001642;HP:0004322;HP:0001928;HP:0100763;HP:0000478;HP:0001626
mayo	HP:0001642;HP:0004415;HP:0001631;HP:0001636;HP:0011675;HP:0001680;HP:0001629;HP:0001639;HP:0004322;HP:0000766;HP:0002650;HP:0002967;HP:0000925;HP:0001999;HP:0000316;HP:0000286;HP:0000508;HP:0000494;HP:0000325;HP:0000369;HP:0000358;HP:0100543;HP:0006877;HP:0000736;HP:0001003;HP:0000957;HP:0000962;HP:0008064;HP:0000964;HP:0000995;HP:0008404;HP:0001869;HP:0006191;HP:0008070;HP:0002212;HP:0002213;HP:0100874;HP:0002224;HP:0002299;HP:0100840;HP:0000561;HP:0000407;HP:0000028;HP:0002562;HP:0011968;HP:0008897;HP:0001928;HP:0100763;HP:0002664
medgen	HP:0000028;HP:0000179;HP:0000256;HP:0000268;HP:0000286;HP:0000316;HP:0000368;HP:0000369;HP:0000391;HP:0000463;HP:0000465;HP:0000470;HP:0000494;HP:0000508;HP:0000535;HP:0000545;HP:0000635;HP:0000689;HP:0000750;HP:0000766;HP:0000914;HP:0000915;HP:0000917;HP:0000953;HP:0000962;HP:0001249;HP:0001252;HP:0001256;HP:0001263;HP:0001290;HP:0001531;HP:0001555;HP:0001629;HP:0001631;HP:0001639;HP:0001642;HP:0001873;HP:0001999;HP:0002007;HP:0002162;HP:0002212;HP:0002650;HP:0002967;HP:0003010;HP:0003196;HP:0004322;HP:0004442;HP:0005280;HP:0006610;HP:0008872;HP:0009890;HP:0011220;HP:0011995;HP:0012209
medscape	HP:0004322;HP:0000325;HP:0000316;HP:0000494;HP:0000508;HP:0000486;HP:0000646;HP:0000369;HP:0000422;HP:0000465;HP:0000470;HP:0000768;HP:0000767;HP:0002650;HP:0001639;HP:0002564;HP:0001433;HP:0000077;HP:0000028;HP:0001388;HP:0001762;HP:0002974;HP:0002949;HP:0100490;HP:0001212;HP:0007439;HP:0001003;HP:0001252;HP:0001250;HP:0009830

lepri	HP:0004322;HP:0000245;HP:0000316;HP:0000494;HP:0000508;HP:0000286;HP:0003196;HP:0002002;HP:0010804;HP:0000347;HP:0000369;HP:0002162;HP:0000765;HP:0001642;HP:0001631;HP:0001629;HP:0001643;HP:0011675;HP:0000077;HP:0000028;HP:0100543;HP:0001596;HP:0001737;HP:0001028
digilio	HP:0004322;HP:0000256;HP:0001999;HP:0000316;HP:0000494;HP:0000508;HP:0000286;HP:0000369;HP:0000356;HP:0000465;HP:0000470;HP:0001627;HP:0000766;HP:0006610;HP:0002987;HP:0000028;HP:0100543

hcm-concise	HP:0001658;HP:0001279;HP:0000822;HP:0001670;HP:0005157;HP:0001644;HP:0001644;HP:0012664;HP:0001716;HP:0001678;HP:0004756;HP:0001663
omim	HP:0001635;HP:0001670;HP:0001682;HP:0001699;HP:0001939;HP:0001962;HP:0011675;HP:0001639;HP:0004756;HP:0005144;HP:0001638;HP:0001645;HP:0004757;HP:0002094;HP:0001712;HP:0005110;HP:0011713;HP:0001634;HP:0001678;HP:0001688;HP:0001716;HP:0004309;HP:0001714;HP:0001723;HP:0006685;HP:0001644

broader	HP:0001641;HP:0001638;HP:0001510;HP:0012373;HP:0000035;HP:0000240;HP:0001627;HP:0001679;HP:0001871;HP:0012759
narrower	HP:0001642;HP:0005157;HP:0003508;HP:0001488;HP:0008689;HP:0004482;HP:0001654;HP:0002616;HP:0001909;HP:0010864
subset	HP:0001642;HP:0001639;HP:0004322;HP:0000508;HP:0000028;HP:0004482
superset	HP:0001642;HP:0001639;HP:0004322;HP:0000508;HP:0000028;HP:0004482;HP:0002564;HP:0002616;HP:0004377;HP:0001249;HP:0000369;HP:0003196
mismatched	HP:0000286;HP:0003196;HP:0000347;HP:0000369;HP:0001596;HP:0001737;HP:0007439;HP:0001003;HP:0100840;HP:0000561
